CODASS,NOM,QUATRI
240449,Optativa,Optativa
240450,Optativa,Optativa
240451,Optativa,Optativa
240452,Optativa,Optativa
240453,Optativa,Optativa
240454,Optativa,Optativa
240455,Optativa,Optativa
240456,Optativa,Optativa
240457,Optativa,Optativa
240458,Optativa,Optativa
240459,Optativa,Optativa
240460,Optativa,Optativa
240461,Optativa,Optativa
240462,Optativa,Optativa
240463,Optativa,Optativa
240464,Optativa,Optativa
240465,Optativa,Optativa
240466,Optativa,Optativa
240467,Optativa,Optativa
240468,Optativa,Optativa
240469,Optativa,Optativa
240470,Optativa,Optativa
240471,Optativa,Optativa
240472,Optativa,Optativa
240473,Optativa,Optativa
240474,Optativa,Optativa
240475,Optativa,Optativa
240476,Optativa,Optativa
240477,Optativa,Optativa
240478,Optativa,Optativa
240479,Optativa,Optativa
240480,Optativa,Optativa
240481,Optativa,Optativa
240482,Optativa,Optativa
240483,Optativa,Optativa
240484,Optativa,Optativa
240485,Optativa,Optativa
240486,Optativa,Optativa
240487,Optativa,Optativa
240488,Optativa,Optativa
240489,Optativa,Optativa
240490,Optativa,Optativa
240491,Optativa,Optativa
240492,Optativa,Optativa
240493,Optativa,Optativa
240494,Optativa,Optativa
240495,Optativa,Optativa
240496,Optativa,Optativa
240497,Optativa,Optativa
240498,Optativa,Optativa
240499,Optativa,Optativa
240500,Optativa,Optativa
240501,Optativa,Optativa
240502,Optativa,Optativa
240503,Optativa,Optativa
240504,Optativa,Optativa
240505,Optativa,Optativa
240506,Optativa,Optativa
240507,Optativa,Optativa
240508,Optativa,Optativa
240509,Optativa,Optativa
240510,Optativa,Optativa
240511,Optativa,Optativa
240512,Optativa,Optativa
240513,Optativa,Optativa
240514,Optativa,Optativa
240515,Optativa,Optativa
240516,Optativa,Optativa
240517,Optativa,Optativa
240518,Optativa,Optativa
240519,Optativa,Optativa
240520,Optativa,Optativa
240521,Optativa,Optativa
240522,Optativa,Optativa
240523,Optativa,Optativa
240524,Optativa,Optativa
240525,Optativa,Optativa
240526,Optativa,Optativa
240527,Optativa,Optativa
240528,Optativa,Optativa
240529,Optativa,Optativa
240530,Optativa,Optativa
240531,Optativa,Optativa
240532,Optativa,Optativa
240533,Optativa,Optativa
240534,Optativa,Optativa
240535,Optativa,Optativa
240536,Optativa,Optativa
240537,Optativa,Optativa
240538,Optativa,Optativa
240539,Optativa,Optativa
240540,Optativa,Optativa
240541,Optativa,Optativa
240542,Optativa,Optativa
240543,Optativa,Optativa
240544,Optativa,Optativa
240545,Optativa,Optativa
240546,Optativa,Optativa
240547,Optativa,Optativa
240548,Optativa,Optativa
240549,Optativa,Optativa
240550,Optativa,Optativa
240551,Optativa,Optativa
240552,Optativa,Optativa
240553,Optativa,Optativa
240554,Optativa,Optativa
240555,Optativa,Optativa
240556,Optativa,Optativa
240557,Optativa,Optativa
240558,Optativa,Optativa
240559,Optativa,Optativa
240560,Optativa,Optativa
240561,Optativa,Optativa
240562,Optativa,Optativa
240563,Optativa,Optativa
240564,Optativa,Optativa
240565,Optativa,Optativa
240566,Optativa,Optativa
240567,Optativa,Optativa
240568,Optativa,Optativa
240569,Optativa,Optativa
240570,Optativa,Optativa
240571,Optativa,Optativa
240572,Optativa,Optativa
240573,Optativa,Optativa
240574,Optativa,Optativa
240575,Optativa,Optativa
240576,Optativa,Optativa
240577,Optativa,Optativa
240578,Optativa,Optativa
240579,Optativa,Optativa
240580,Optativa,Optativa
240581,Optativa,Optativa
240582,Optativa,Optativa
240583,Optativa,Optativa
240584,Optativa,Optativa
240585,Optativa,Optativa
240586,Optativa,Optativa
240587,Optativa,Optativa
240588,Optativa,Optativa
240589,Optativa,Optativa
240590,Optativa,Optativa
240591,Optativa,Optativa
240592,Optativa,Optativa
240593,Optativa,Optativa
240594,Optativa,Optativa
240595,Optativa,Optativa
