CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
228537,240014,6.0,2010,1,S,6.7,6.7,6.7,11,Q1
228704,240014,6.0,2010,1,S,5.1,5.1,5.1,11,Q1
229262,240014,6.0,2010,1,S,5.2,5.2,5.2,11,Q1
229925,240014,6.0,2010,1,S,9.0,9.0,9.0,11,Q1
227639,240015,6.0,2010,1,S,6.5,6.5,6.5,13,Q1
227296,240015,6.0,2010,1,S,7.5,7.5,7.5,21,Q1
229759,240014,6.0,2010,1,S,5.2,5.2,5.2,62,Q1
229949,240014,6.0,2010,1,N,4.1,4.1,4.1,62,Q1
231371,240014,6.0,2010,1,S,7.0,7.0,7.0,62,Q1
231745,240014,6.0,2010,1,S,7.0,7.0,7.0,62,Q1
232054,240014,6.0,2010,1,S,5.0,5.0,5.0,62,Q1
229037,240014,6.0,2010,1,N,4.1,4.1,4.1,52,Q1
226463,240014,6.0,2010,1,N,4.0,4.0,4.0,62,Q1
227994,240014,6.0,2010,1,S,7.0,7.0,7.0,62,Q1
228047,240015,6.0,2010,1,S,6.7,6.7,6.7,32,Q1
228049,240015,6.0,2010,1,S,5.0,5.0,5.0,32,Q1
228721,240015,6.0,2010,1,N,0.2,0.2,0.2,32,Q1
226455,240015,6.0,2010,1,S,9.2,9.2,9.2,33,Q1
228661,240015,6.0,2010,1,S,6.3,6.3,6.3,33,Q1
229011,240015,6.0,2010,1,S,7.0,7.0,7.0,33,Q1
227142,240015,6.0,2010,1,S,5.4,5.4,5.4,41,Q1
228745,240015,6.0,2010,1,S,8.7,8.7,8.7,62,Q1
227856,240015,6.0,2010,1,N,0.2,0.2,0.2,63,Q1
227942,240015,6.0,2010,1,S,6.0,6.0,6.0,72,Q1
228971,240015,6.0,2010,1,N,2.0,2.0,2.0,72,Q1
230992,240015,6.0,2010,1,S,6.4,6.4,6.4,72,Q1
231202,240015,6.0,2010,1,N,0.7,0.7,0.7,72,Q1
227128,240015,6.0,2010,1,N,3.3,3.3,3.3,62,Q1
232351,240015,6.0,2010,1,S,5.2,5.2,5.2,63,Q1
227182,240015,6.0,2010,1,N,0.7,0.7,0.7,71,Q1
229698,240015,6.0,2010,1,S,6.2,6.2,6.2,71,Q1
226717,240013,6.0,2010,1,S,5.7,5.7,5.7,31,Q1
227476,240013,6.0,2010,1,N,3.8,3.8,3.8,31,Q1
227588,240013,6.0,2010,1,S,8.7,8.7,8.7,22,Q1
227769,240013,6.0,2010,1,S,7.4,7.4,7.4,22,Q1
228494,240013,6.0,2010,1,S,6.4,6.4,6.4,31,Q1
228497,240013,6.0,2010,1,S,6.4,6.4,6.4,31,Q1
227231,240013,6.0,2010,1,S,5.7,5.7,5.7,21,Q1
227712,240013,6.0,2010,1,S,5.0,5.0,5.0,21,Q1
228021,240013,6.0,2010,1,N,3.4,3.4,3.4,21,Q1
227908,240013,6.0,2010,1,N,4.2,4.2,4.2,22,Q1
228600,240013,6.0,2010,1,S,5.0,5.0,5.0,22,Q1
232338,240013,6.0,2010,1,S,5.0,5.0,5.0,22,Q1
229830,240013,6.0,2010,1,N,4.3,4.3,4.3,21,Q1
232347,240013,6.0,2010,1,S,6.1,6.1,6.1,21,Q1
227132,240013,6.0,2010,1,S,5.8,5.8,5.8,22,Q1
227328,240013,6.0,2010,1,S,6.6,6.6,6.6,22,Q1
233142,240013,6.0,2010,1,S,5.1,5.1,5.1,12,Q1
226798,240013,6.0,2010,1,N,3.8,3.8,3.8,21,Q1
227047,240013,6.0,2010,1,S,7.2,7.2,7.2,21,Q1
227048,240013,6.0,2010,1,S,6.0,6.0,6.0,21,Q1
226877,240013,6.0,2010,1,S,7.0,7.0,7.0,11,Q1
227096,240013,6.0,2010,1,S,7.7,7.7,7.7,11,Q1
227123,240013,6.0,2010,1,N,3.3,3.3,3.3,11,Q1
228657,240013,6.0,2010,1,N,2.7,2.7,2.7,12,Q1
229072,240013,6.0,2010,1,S,7.9,7.9,7.9,12,Q1
227406,240015,6.0,2010,1,S,5.1,5.1,5.1,53,Q1
227814,240015,6.0,2010,1,N,2.4,2.4,2.4,53,Q1
227422,240013,6.0,2010,1,S,5.6,5.6,5.6,11,Q1
227475,240013,6.0,2010,1,S,7.3,7.3,7.3,11,Q1
228242,240013,6.0,2010,1,S,5.0,5.0,5.0,11,Q1
226818,240013,6.0,2010,1,S,9.0,9.0,9.0,12,Q1
228049,240013,6.0,2010,1,S,5.0,5.0,5.0,32,Q1
227801,240013,6.0,2010,1,S,6.4,6.4,6.4,41,Q1
227807,240013,6.0,2010,1,N,4.1,4.1,4.1,41,Q1
228454,240013,6.0,2010,1,S,6.1,6.1,6.1,41,Q1
228637,240013,6.0,2010,1,S,6.2,6.2,6.2,31,Q1
229744,240013,6.0,2010,1,N,4.2,4.2,4.2,32,Q1
232879,240013,6.0,2010,1,S,5.6,5.6,5.6,32,Q1
226472,240013,6.0,2010,1,S,5.7,5.7,5.7,41,Q1
227301,240013,6.0,2010,1,S,5.0,5.0,5.0,41,Q1
227620,240013,6.0,2010,1,N,3.3,3.3,3.3,61,Q1
230662,240013,6.0,2010,1,S,5.0,5.0,5.0,61,Q1
226888,240013,6.0,2010,1,S,5.6,5.6,5.6,62,Q1
227856,240013,6.0,2010,1,S,5.1,5.1,5.1,62,Q1
227215,240013,6.0,2010,1,S,7.4,7.4,7.4,32,Q1
228017,240013,6.0,2010,1,S,6.5,6.5,6.5,32,Q1
232372,240015,6.0,2010,1,N,0.3,0.3,0.3,12,Q1
232677,240015,6.0,2010,1,S,7.9,7.9,7.9,12,Q1
233021,240015,6.0,2010,1,N,4.1,4.1,4.1,12,Q1
227087,240015,6.0,2010,1,S,7.1,7.1,7.1,11,Q1
227792,240015,6.0,2010,1,S,6.6,6.6,6.6,11,Q1
230199,240015,6.0,2010,1,S,8.5,8.5,8.5,11,Q1
228091,240014,6.0,2010,1,S,7.6,7.6,7.6,21,Q1
228281,240014,6.0,2010,1,S,5.0,5.0,5.0,21,Q1
228300,240014,6.0,2010,1,S,5.1,5.1,5.1,21,Q1
228533,240014,6.0,2010,1,S,6.1,6.1,6.1,21,Q1
228660,240014,6.0,2010,1,S,7.1,7.1,7.1,21,Q1
229736,240014,6.0,2010,1,S,7.1,7.1,7.1,21,Q1
227132,240014,6.0,2010,1,N,3.8,3.8,3.8,22,Q1
227021,240015,6.0,2010,1,N,0.6,0.6,0.6,12,Q1
228474,240015,6.0,2010,1,N,3.3,3.3,3.3,12,Q1
228601,240015,6.0,2010,1,N,4.5,4.5,4.5,12,Q1
229400,240014,6.0,2010,1,S,6.8,6.8,6.8,12,Q1
232124,240014,6.0,2010,1,N,3.5,3.5,3.5,12,Q1
227296,240014,6.0,2010,1,S,6.8,6.8,6.8,21,Q1
227409,240013,6.0,2010,1,S,5.1,5.1,5.1,42,Q1
227786,240013,6.0,2010,1,N,4.6,4.6,4.6,42,Q1
228628,240015,6.0,2010,1,S,6.4,6.4,6.4,31,Q1
227505,240014,6.0,2010,1,S,5.1,5.1,5.1,12,Q1
228162,240014,6.0,2010,1,S,6.6,6.6,6.6,12,Q1
228372,240014,6.0,2010,1,S,6.9,6.9,6.9,12,Q1
228599,240014,6.0,2010,1,S,5.3,5.3,5.3,12,Q1
228615,240014,6.0,2010,1,S,6.8,6.8,6.8,12,Q1
228623,240014,6.0,2010,1,S,6.6,6.6,6.6,12,Q1
232153,240013,6.0,2010,1,S,5.2,5.2,5.2,41,Q1
228573,240013,6.0,2010,1,S,6.6,6.6,6.6,42,Q1
228921,240013,6.0,2010,1,S,8.5,8.5,8.5,42,Q1
230188,240013,6.0,2010,1,S,7.1,7.1,7.1,42,Q1
227452,240013,6.0,2010,1,S,5.3,5.3,5.3,51,Q1
231202,240014,6.0,2010,1,S,5.3,5.3,5.3,72,Q1
229821,240015,6.0,2010,1,S,7.8,7.8,7.8,31,Q1
227178,240015,6.0,2010,1,N,0.1,0.1,0.1,32,Q1
228044,240015,6.0,2010,1,N,4.4,4.4,4.4,32,Q1
227433,240014,6.0,2010,1,S,8.3,8.3,8.3,31,Q1
227506,240014,6.0,2010,1,S,6.9,6.9,6.9,31,Q1
227958,240014,6.0,2010,1,S,8.5,8.5,8.5,31,Q1
228525,240014,6.0,2010,1,S,6.7,6.7,6.7,31,Q1
228049,240014,6.0,2010,1,S,5.6,5.6,5.6,32,Q1
